,user_id,typeAccount,verified,territories,createdAt,role,status
0,56,USER,True,75,2020-11-19 11:33:29.049,OWNER,PRO
2,57,USER,True,75,2020-11-19 12:22:21.422,OWNER,PRO
7,58,USER,True,75,2020-11-19 12:45:35.822,OWNER,PRO
28,59,USER,True,75,2020-11-19 13:30:48.541,OWNER,PRO
33,60,USER,True,75,2020-11-19 13:51:48.877,OWNER,PRO
35,61,USER,True,75,2020-11-19 13:54:03.974,OWNER,PRO
37,62,USER,True,75,2020-11-19 14:48:23.162,OWNER,PRO
39,63,USER,True,75,2020-11-19 16:21:43.773,OWNER,PRO
42,64,USER,True,75,2020-11-19 17:02:53.628,OWNER,PRO
44,65,USER,True,75,2020-11-19 19:21:46.258,OWNER,PRO
46,66,USER,True,75,2020-11-20 08:27:05.046,OWNER,PRO
49,67,USER,True,75,2020-11-20 11:16:48.375,OWNER,PRO
57,68,USER,True,75,2020-11-22 09:23:36.462,OWNER,PRO
60,69,USER,True,67,2020-11-23 13:52:08.500,OWNER,PRO
62,70,USER,True,67,2020-11-23 13:56:46.377,OWNER,PRO
65,71,USER,True,67,2020-11-23 14:04:13.705,OWNER,PRO
67,72,USER,True,67,2020-11-23 14:04:41.827,OWNER,PRO
80,73,USER,True,67,2020-11-23 14:25:16.531,OWNER,PRO
88,74,USER,True,67,2020-11-23 14:37:46.803,OWNER,PRO
94,75,USER,True,67,2020-11-23 14:38:42.456,OWNER,PRO
96,76,USER,True,67,2020-11-23 15:12:07.289,OWNER,PRO
98,78,USER,True,67,2020-11-23 17:51:51.031,OWNER,PRO
101,79,USER,True,67,2020-11-23 20:05:41.170,OWNER,PRO
104,80,USER,True,67,2020-11-24 05:46:53.034,OWNER,PRO
113,81,USER,True,67,2020-11-24 05:53:32.868,OWNER,PRO
115,82,USER,True,67,2020-11-24 10:12:07.086,OWNER,PRO
117,83,USER,True,67,2020-11-24 14:40:14.802,OWNER,PRO
119,84,USER,True,67,2020-11-25 08:19:33.698,OWNER,PRO
121,85,USER,True,67,2020-11-25 13:00:10.596,OWNER,PRO
123,87,USER,True,67,2020-11-26 14:27:48.060,OWNER,PRO
125,88,USER,True,67,2020-11-30 14:31:59.172,OWNER,PRO
127,89,USER,True,67,2020-11-30 17:56:02.253,OWNER,PRO
129,90,USER,True,92,2020-12-07 09:52:49.707,OWNER,PRO
131,91,USER,True,75,2020-12-07 09:57:49.389,OWNER,PRO
134,92,USER,True,75,2020-12-07 09:57:50.640,OWNER,PRO
136,93,USER,True,75,2020-12-07 10:00:58.051,OWNER,PRO
144,94,USER,True,75,2020-12-07 10:01:30.570,OWNER,PRO
146,95,USER,True,75,2020-12-07 10:03:00.418,OWNER,PRO
148,96,USER,True,75,2020-12-07 10:05:16.880,OWNER,PRO
150,97,USER,True,92,2020-12-07 10:08:15.244,OWNER,PRO
155,98,USER,True,75,2020-12-07 10:08:44.169,OWNER,PRO
157,99,USER,True,33,2020-12-07 10:11:21.715,OWNER,PRO
159,100,USER,True,75,2020-12-07 10:11:23.550,OWNER,PRO
160,101,USER,True,75,2020-12-07 10:12:49.738,OWNER,PRO
162,102,USER,True,92,2020-12-07 10:15:54.274,OWNER,PRO
164,103,USER,True,75,2020-12-07 10:15:55.238,OWNER,PRO
166,104,USER,True,92,2020-12-07 10:18:57.137,OWNER,PRO
168,105,USER,True,75,2020-12-07 10:21:34.946,OWNER,PRO
183,106,USER,True,75,2020-12-07 10:25:34.554,OWNER,PRO
185,107,USER,True,75,2020-12-07 10:26:34.113,OWNER,PRO
187,108,USER,True,75,2020-12-07 10:26:34.725,OWNER,PRO
189,109,USER,True,78,2020-12-07 10:30:22.677,OWNER,PRO
215,110,USER,True,75,2020-12-07 10:32:48.798,,PRO
216,111,USER,True,75,2020-12-07 10:33:17.254,OWNER,PRO
218,112,USER,True,75,2020-12-07 10:33:17.481,OWNER,PRO
220,113,USER,True,92,2020-12-07 10:34:45.225,OWNER,PRO
222,114,USER,True,92,2020-12-07 10:36:57.151,OWNER,PRO
224,115,USER,True,75,2020-12-07 10:37:10.727,OWNER,PRO
237,116,USER,True,78,2020-12-07 10:41:41.181,OWNER,PRO
240,117,USER,True,75,2020-12-07 10:45:16.159,OWNER,PRO
242,118,USER,True,00,2020-12-07 10:45:26.222,,PRO
243,119,USER,True,92,2020-12-07 10:46:03.819,OWNER,PRO
245,120,USER,True,78,2020-12-07 10:46:37.060,OWNER,PRO
248,121,USER,True,75,2020-12-07 10:48:12.038,OWNER,PRO
250,122,USER,True,92,2020-12-07 10:49:08.174,OWNER,PRO
