,index,departement,createdAt,lieu_id,categorie
0,0,Paris,2018-01,0,Douche
1,1,Paris,2018-01,0,Laverie
2,2,Paris,2018-01,0,Toilettes
3,3,Paris,2018-01,0,Permanence juridique
4,4,Paris,2018-01,0,Domiciliation
5,5,Paris,2018-01,0,Accompagnement social
6,6,Paris,2018-01,0,Fontaine
7,7,Paris,2018-01,0,Accueil de jour
8,0,Paris,2018-01,3,Psychologie
9,1,Paris,2018-01,3,Généraliste
10,2,Paris,2018-01,3,Formation français
11,3,Paris,2018-01,3,Accompagnement à l'emploi
12,4,Paris,2018-01,3,Douche
13,5,Paris,2018-01,3,Laverie
14,6,Paris,2018-01,3,Permanence juridique
15,7,Paris,2018-01,3,Domiciliation
16,8,Paris,2018-01,3,Accompagnement social
17,9,Paris,2018-01,3,Fontaine
18,10,Paris,2018-01,3,Accueil de jour
19,11,Paris,2018-01,3,Espaces de repos
20,12,Paris,2018-01,3,Halte de nuit
21,13,Paris,2018-01,3,Activités
22,14,Paris,2018-01,3,Pédicure
23,0,Paris,2018-01,4,Permanence juridique
24,1,Paris,2018-01,4,Domiciliation
25,0,Paris,2018-01,6,Accueil de jour
26,1,Paris,2018-01,6,Activités
27,0,Paris,2018-01,8,Accueil de jour
28,0,Paris,2018-01,9,Permanence juridique
29,1,Paris,2018-01,9,Accompagnement social
30,2,Paris,2018-01,9,Restauration assise
31,3,Paris,2018-01,9,Accueil de jour
32,4,Paris,2018-01,9,Activités
33,0,Paris,2018-01,10,Généraliste
34,1,Paris,2018-01,10,Douche
35,2,Paris,2018-01,10,Toilettes
36,3,Paris,2018-01,10,Domiciliation
37,4,Paris,2018-01,10,Wifi
38,5,Paris,2018-01,10,Prise
39,6,Paris,2018-01,10,Restauration assise
40,7,Paris,2018-01,10,Accueil de jour
41,8,Paris,2018-01,10,Vêtements
42,0,Paris,2018-01,11,Douche
43,1,Paris,2018-01,11,Laverie
44,2,Paris,2018-01,11,Permanence juridique
45,3,Paris,2018-01,11,Accompagnement social
46,4,Paris,2018-01,11,Restauration assise
47,5,Paris,2018-01,11,Accueil de jour
48,6,Paris,2018-01,11,Activités
49,0,Paris,2018-01,13,Dépistage
